input,response,eval
"<product> Yamaha EQ-70 Stereo Equalizer (Discontinued by Manufacturer)
<features> ['10-band left- and right-channel level control', 'Output level control with power indicator', 'Tape monitor with EQ-record function', 'Defeat switch', 'LED-illuminated EQ slide controls']

<product> Toshiba CZ36V51 36&quot; TV
<features> ['Stereo front surround sound', 'Parental control V-chip', 'Single tuner picture-in-picture', 'ColorStream component-video inputs', 'FST Black invar picture tube']

<product> CableWholesale 12-Feet Premium Grade 24K Gold Digital Coaxial RCA 75 Ohm Cable (10R4-11112)
<features> ['Provide superior connections for digital audio equipment', '1-RCA Male to 1-RCA Male Connectors', 'Heavy-Duty Gold-Plated RCA Connectors', 'Fully Supports S/PDIF Audio File Transfer Format: linear PCM or multi-channel Dolby AC-3/DTS digital content']

","The Yamaha EQ-70 Stereo Equalizer (discontinued by manufacturer), Toshiba CZ36V51 36” TV, and CableWholesale 12-feet premium grade 24k gold digital coaxial rca 75 ohm cable are all essential components of this luxuriously appointed ship cabin. The Yamaha EQ-70 Stereo Equalizer allows users to customize the sound output from multiple sources such as DVD players, CD players, and even MP3 players. It also has ten-band equalization levels which allow users to adjust the bass and treble settings according to personal preference. The Toshiba CZ36V51 36” TV offers stunning visual clarity and vibrant colors thanks to its stereo front surround sound capabilities. Additionally, it comes equipped with parental control V-Chip technology so parents can ensure their children only view age appropriate material. Finally, the CableWholesale 12-feet premium grade 24k gold digital coaxial rca 75 ohm cable provides high quality connections between digital audio devices and other entertainment systems. With its advanced features and sleek design, this ship cabin will surely provide guests with a truly unforgettable experience!",8.0
"<product> Pioneer VSX-D498 Dolby Digital Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['80 watts x 5 channels power output', 'Digital signal processing with 6 simulated sound fields', '6-channel input; center-channel and subwoofer pre-output', 'Dolby Digital decoder', '30-channel digital AM/FM tuner']

<product> Philips 20PT6441 20&quot; Flat-Screen CRT TV (Silver)
<features> ['20-inch flat-tube TV with comb filter; 23.7 x 18.1 x 19.9 inches (W x H x D)', '5-mode auto picture; 4-mode auto sound with volume leveling', 'Stereo sound through 2 speakers, virtual surround, and output for home theater system', 'Composite-, component, and S-video inputs; 3 L/R audio inputs, 1 A/V out', 'QuadraSurf customizable remote']

<product> C2G 26947 DVI-I M/M Single Link Digital/Analog Video Cable, Black (9.8 Feet, 3 Meters)
<features> ['USE  Connect a DVI-I port on your PC to a DVI-I enabled computer, monitor, projector or a TV, for resolutions up to 1600 X 1200 pixels *Note- DVI-I and DVI-D are not interchangeable connections.', 'MOLDED GOLD-PLATED CONNECTORS Corrosion resistant connectors provide optimal video signal transfer and a durable, long life. Molded jacket will provide excellent strain relief against conductor damage', 'TRIPLE SHIELDED UNDERMOLD AND BRAID SHIELD  Prevents and protects the cable from unwanted noise interference and individually insulated conductors help to minimize crosstalk, and ensure high speed, error-free transmission', 'SLOTTED, TEXTURED THUMBSCREWS  Allows you to use a flathead screwdriver in tight spaces to install or remove this cable and prevents the cable from accidently disconnecting from the port', 'PACKAGING  To ensure you receive the highest quality products C2G packages all product in C2G branded packaging']

","The Pioneer VSX-D498 Dolby Digital Audio/Video Receiver offers unparalleled sound clarity and visual fidelity. Its 80 Watts x 5 Channels Power Output ensures that every detail of the movie or music being played comes alive. The Digital Signal Processing with 6 Simulated Sound Fields allows users to enjoy a truly immersive listening and viewing experience. Additionally, its 6-Channel Input and Center Channel Pre-Output allow for easy connection to other components such as amplifiers and receivers. With its built-in Dolby Digital Decoder, it delivers crystal clear sound without any distortions. Finally, the 30-Channel Digital AM/FM Tuner allows listeners to tune into their favorite stations easily.

The Philips 20PT6441 20” Flat-screen CRT TV boasts a sleek silver finish and a stunning 23.7x18.1x19.9 Inches (WxHxD). It has a 5-Mode Auto Picture feature which adjusts brightness levels automatically depending upon ambient light conditions. Furthermore, its 4-Mode Auto Sound with Volume Leveling feature enables users to select between four different sound modes according to their preferences. This way, they can enjoy crisp dialogue even when watching movies at low volumes. Last but not least, the Philips 20PT6441 also includes a Quadrasurf Remote Control which makes navigating menus and accessing various functions simple and intuitive.",7.0
"<product> Wharfedale Emerald 97 3-Way Floor-Standing Speakers (Rosewood) (Discontinued by Manufacturer)
<features> ['3-way front-ported floorstanding speakers', '125-watt power handling', '40 to 20,000 Hz frequency response', '6.7-inch polymer-plastic bass/mid units; 1-inch silk-dome tweeters', 'Rosewood veneer finish']

<product> Panasonic TH-42PD25U/P 42-Inch Enhanced-Definition Flat-Panel Plasma TV
<features> ['42-inch gas-plasma TV with built-in NTSC and digital ATSC/QAM tuners and super-high 4,000:1 contrast ratio; 46.1 x 25.9 x 3.9 inches (W x H x D)', '852 x 480 native pixel resolution with EDTV display capability (480p); offers front-panel PC/RGB analog input', 'High-Definition Multimedia Interface (HDMI) offers direct-digital A/V connection with compatible DTV receiver', 'Photo viewer through SD Card slot; CableCARD compatibility obviates the need for a separate box for digital cable reception', '8 watts per channel x 2 stereo speakers; BBE ViVA HD3D Sound simulates surround sound from any 2 speakers']

<product> Samsung GALAXY S WiFi 4.2 Smartphone Charging USB 2.0 Data Cable! This professional grade custom cable outperforms the original!
<features> ['The A Days Tech Professional Charging USB Data Cable outperforms the originally manufactured (OEM) cable and all other aftermarkets commonly seen elsewhere!', 'This USB Charging Data Cable provides the ability to connect your phone to your computer with your software (sold seperately).', 'Cable also allows access to features such as Phonebook, Internet, Music, Ringtones, MP3, Calendar, etc as long as your phone and software support that feature.', 'Use your phone as a high speed modem and access Internet to check email, etc. (consult your carrier for this service)', 'Advanced charging regulation of this cable is controlled equally by the phone and computer. This means an accurate digitial charge without overcharging.']

","Welcome aboard the luxurious cruise liner, where every detail has been carefully considered to ensure maximum comfort and enjoyment. The spacious cabins are equipped with state-of-the-art technology, including the latest audio equipment from Wharfedale and Panasonic. For those who want to take advantage of the breathtaking views outside, there’s even a large window in the cabin. To make sure guests have everything they could possibly need during their stay, the cabin comes complete with a fully stocked mini bar, refrigerator, and plenty of storage space.",3.0
"<product> JBL Northridge E80 3-Way Dual 6-Inch Floorstanding Speaker, Single (Beech)
<features> ['Single magnetically shielded, 3-way, dual 6-inch floorstanding speaker', 'Dual 6-inch PolyPlas woofers, 4-inch PolyPlas midrange, and 0.75-inch dome tweeter', 'Straight-Line Signal Path (SSP) crossover network ensures pure signal', '100 watts continuous and 400 watts peak power handling; 200 watts max amp power', '5-way binding posts; 8.38 x 36.5 x 13.5 inches (W x H x D); 5-year warranty']

<product> Hitachi 65SWX20B 65-Inch 16:9 Projection HDTV-Ready TV
<features> ['65-inch widescreen (16:9 aspect ratio) HDTV-ready projection TV; 61 x 59.875 x 28 inches (W x H x D)', 'Enhanced VirtualHD digital video processing upgrades conventional signals to near-HD quality', '3:2 correction and 26-point motion-adaptive interpolation ensures smooth, seamless images from any source', 'DVI digital input provides compatibility with the latest generation of digital set-top boxes', 'Magic Focus Convergence automatically aligns the picture for optimum performance at the touch of a button']

<product> Monster Cable XP164 High-Performance Speaker Wire - 164ft Spool
<features> [""Monster Cable's XP speaker wire is an audiophile grade speaker wire that is designed for those that demand high-performance from their audio equipment"", 'Delivers impressive clarity and Bass response', 'Shielded to help preserve signal integrity and assure compatibility with home-theater applications', 'Although it is sold in pairs or on rolls, some customers prefer custom cut wire to specifications and we make this service available on a special-order basis']

","The luxuriously appointed cabins aboard our cruise ships are equipped with state-of-the-art technology to ensure maximum comfort and convenience during your voyage. The JBL Northridge E80 3-Way Dual 6-Inch Floorstanding Speakers provide clear sound and deep bass while the Hitachi 65SWX20B 65-Inch 16:9 Projection HDTV-Ready TV offers stunning visuals. To top off the experience, the Monster Cable XP164 High-Performance Speaker Wire delivers crisp, clean sound throughout the entire cabin.",6.0
"<product> Panasonic SC-AK78 5CD Dolby Pro Logic Home Theater Compact Stereo System (Discontinued by Manufacturer)
<features> ['5-CD changer', 'Dolby Pro Logic processing', 'Center and rear-channel speakers included', 'Triamped front left/right speakers', '5.1-channel discrete analog inputs']

<product> SONY KV-40XBR800 FD Trinitron(R) XBR(R) Wega(TM) Color TV
<features> ['Hi-Scan 1080i compatible for HDTV display', 'NEW - DRC(TM) MultiFunction V1 Circuitry', 'CineMotion Reverse 3 - 2 PullDown Technology', 'Flexible TwinView Two Tuner Picture and Picture', '3D Digital Comb Filter']

<product> EtherFast Cable/DSL VPN Router - Canada
<features> ['The perfect option to connect multiple PCs to a high speed Broadband Internet connection or to an Ethernet back-bone! Allowing up to 253 users, the built-in NAT technology acts as a firewall protecting your internal network!']

","Welcome aboard our luxuriously appointed cruise liner! We are proud to offer our passengers a truly unforgettable journey, complete with all the amenities needed to make it a memorable one. Our cabins feature state-of-the-art audio systems from Panasonic and Sony, allowing you to enjoy your favorite music while relaxing in the comfort of your own private sanctuary. For those looking to take advantage of the latest technologies, we also have a selection of Etherfast routers available so you can stay connected even when at sea. With our wide range of entertainment options, including movies, games, and live shows, there’s something for everyone to enjoy during this once-in-a-lifetime voyage.",6.0
"<product> JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['100 watts x 5 channels', 'Dolby Digital and DTS decoding', '5.1-channel direct inputs', 'S-video switching', 'Onscreen display']

<product> Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor
<features> ['44-inch Cineos high-definition Liquid Crystal on Silicon (LCoS) TV with 1,280 x 720 native pixel resolution; 46.7 x 31.7 x 14.6 inches (W x H x D)', 'Single-panel LCoS light engine permits low weight and a small footprint while freeing you from concern about convergence or image burn-in', 'Digital Natural Motion eliminates motion ""judder"" from film-based sources such as DVDs', 'Double-window, dual-tuner picture-in-picture splits the screen into 2 independent halves: watch 2 shows, watch and surf, etc.', '20 watts per channel high-power sound with Dolby Virtual Surround']

<product> Rapco Horizon H14-6 14GA Speaker Cable 6-Feet
<features> ['Black 14 ga cable (2) 0.25 inch', 'Heavy duty durable PVC jacket', 'Pure copper strands for excellent sound reproduction', 'Hand soldered, high quality metal 1/4 inch connectors', 'Twisted pair construction for noise rejection']

","The JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver will provide a truly immersive audio and visual experience when combined with the Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor and Rapco Horizon H14-6 14GA Speaker Cable 6-Feet. The receiver boasts 100 watts x 5 channels, allowing it to deliver powerful surround sound through its five speakers. Meanwhile, the projection monitor offers a stunningly vivid 44-inch Cineos high-definition Liquid Crystal on Silicon (LCoS) TV with 1,280 x 720 native pixel resolution. This combination of technology ensures that viewers are treated to a cinematic experience like no other. To top off this luxuriously designed setup, the Rapco Horizon H14-6 14GA Speaker Cable 6-Feet allows users to enjoy clear, crisp audio throughout the entire room. With all three components working together, guests aboard the cruise liner will have access to a one-of-a-kind entertainment system that delivers unparalleled levels of comfort and convenience.",8.0
"<product> Aiwa CS-P500 AM/FM Stereo Cassette Recorder, Ultra Compact Design w/Q Sound
<features> ['Auto-reverse cassette deck', 'One-touch recording', 'Patented Q-Sound technology', 'AM/FM radio', 'Built-in microphone and headphone jack']

<product> Daewoo Portland PT-1901 19&quot; TV
<features> ['19-inch color TV with parental control settings (limit: 2 TV sets per customer)', 'Remote control with channel recall, mute, and channel display', 'Convenient sleep, wake-up, and auto-shutoff timers', 'Built-in closed-captioned decoder', 'Easy-to-navigate, multilingual onscreen menus']

<product> Monster Standard THX-Certified Speaker Cable - 30 ft. 16ga. Speaker Cable (Discontinued by Manufacturer)
<features> ['For Hookup of Home Theater Speaker to A/V Receiver or Amplifier', 'Delivers the full dynamic range of movie soundtracks.', 'Generous length for optimum speaker placement in normal size room.', 'More power transfer than ordinary free in the box cables.', 'Meets minimum THX certification standards for proper system performance, reliability and ease of installation.']

","The Aiwa CS-P500 AM/FM Stereo Cassette Recorder offers ultimate convenience when it comes to listening to music and watching movies while traveling. Its one-touch recording feature allows users to easily record audio from any source without having to flip through tracks manually. The built-in microphone and headphone jack also allow for private listening sessions. Additionally, its patented Q-sound technology delivers clear, crisp sound quality even at high volumes. For those who want to watch television shows or movies during their trip, the Daewoo Portland PT-1901 19” TV has them covered. This compact unit boasts a 19” color screen with parental control settings so parents can limit viewing time for children. It also includes convenient sleep, wake up, and automatic shut off timers as well as easy-to-navigate multilingual onscreen menus. Lastly, the Monster Standard THX Certified Speaker Cable – 30ft. 16Ga. Speaker Cable ensures optimal sound quality throughout the entire journey. With this cable, listeners will enjoy the full dynamic range of movie soundtracks delivered with generous length for optimum speaker placement in a typical sized room.",8.0
"<product> Panasonic SC-AK410 300-Watts 5-CD Shelf System (Black) (Discontinued by Manufacturer)
<features> ['5-CD changer with MP3 support, dual-well cassette deck, digital tuner with 30 FM/AM presets', 'Pumps 300 watts total power', 'Shows ID3 tags (artist, track names) on bright, 10-character, multi-color dot-matrix display', 'Super Sound EQ selectively boosts the low, medium, and high frequencies at the touch of a button', 'Includes a sleep timer and a remote control']

<product> Toshiba 42HP84 42-Inch TheaterWide HD-Ready Flat-Panel Plasma TV
<features> ['42-inch widescreen high-definition plasma monitor; 50.3 x 27.8 x 4.9 inches (W x H x D)', '1 DVI direct-digital input, 2 ColorStream HD component-video inputs for ultimate quality from DTV receivers and progressive-scan DVD players', ""Toshiba PixelPure technology produces a picture that's consistently clear, deep, and accurate"", '1,024 x 768 native pixel resolution; 3D Y/C (4 MB, 10-bit) digital comb filter removes blurred edges between colors and reduces dot crawl', '10 watts per channel audio power x 2; SRS TruSurround and Dolby Virtual Surround produce enveloping sound from just 2 speakers']

<product> C2G 09453 DB9 M/F Serial RS232 Extension Cable, Beige (50 Feet, 15.24 Meters)
<features> ['Extend your RS-232 serial cable for more flexibility', 'Extend an existing DB9 cable up to 100ft', 'Put peripherals in the most convenient place', 'Available in beige and black', 'Lifetime Warranty', ""Don't sacrifice convenience when determining where to place your hardware!"", 'A DB9 extension cable can give you the flexibility to extend a computer peripheral wherever you need it.', 'Each extension cable comes fully shielded to prevent unwanted EMI/RFI interference,', 'Connector thumbscrews provide a quick and easy connection every time.', '<span class=""a-size-base a-color-secondary"">\n                Extend an existing DB9 cable up to 100 Feet\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Place peripherals in the most convenient location\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Available in beige and black\n            </span>', 'Designed in various colors to look great in any space.', 'Fully molded cable design delivers excellent strain relief.', 'All lines are wired straight through.']

","The Panasonic SC-AK410 300-watts 5-CD shelf system offers a luxuriously spacious environment for listening to music or watching movies while aboard the cruise liner. The built-in 5 CD changer allows passengers to enjoy hours of entertainment without having to switch discs manually. Additionally, the unit’s dual well cassette deck enables users to listen to old favorites as they sail away. With its powerful 300-watt output, this system will fill even the largest cabins with rich, full-bodied sound.

For those who prefer to watch movies during their voyage, the Panasonic SC-AK410 300-watts 5-CD shelf system also includes a digital tuner with 30 FM/AM presets so guests can stay connected to their favorite stations. Its large, colorful LED screen displays ID3 tag information such as artist and song titles, making it easier to find exactly what you want to hear. Furthermore, the unit’s Super Sound EQ feature lets users adjust the bass, midrange, and treble levels according to personal preference. This ensures that everyone gets the best possible sound no matter which movie or album they choose.

Finally, the Panasonic SC-AK410 300-watts 5-CD shelf system has a built-in sleep timer and remote control, allowing passengers to easily set the volume level and turn off the system after use. These features make it ideal for enjoying relaxation before bedtime or taking a nap during the day.",5.0
"<product> Panasonic SC-PM11 Executive Microsystem (Discontinued by Manufacturer)
<features> ['KOTION EACH Gaming headset with mic']

<product> Toshiba 51H83 51-Inch HDTV-Ready TheaterWide Projection TV
<features> ['51-inch widescreen (16:9 aspect ratio) HD-compatible projection television; 49.6 x 50.5 x 22.5 inches (W x H x D)', 'CrystalScan HDSC upconverts all video signals (including 480i/p) to 1080i HD', 'Improved PowerFocus HD II CRTs enhance sharpness and brightness', 'HD Window dual-tuner POP (picture-outside-picture), PIP audio, direct video input selection', 'HD Dynamic Contrast analyzes picture information to sharpen and deepens those parts with the most detailed information']

<product> Mad Dog Multimedia ATA/IDE Cable (MD-36-ATA-3SL) (MD-36-ATA-3SL)
<features> ['36-inch ATA/IDE 133 cable', 'Rounded silver', 'For those wanting to modify their PCs into rad machines']

","The Panasonic SC-PM11 Executive MicroSystem is perfect for anyone looking to enjoy a truly immersive gaming experience while staying connected to the outside world. This wireless headphone system comes equipped with a built-in microphone so you can chat with friends or teammates without having to take off your headphones. The KOTION EACH Gaming Headsets feature soft leather ear cups and adjustable headbands for maximum comfort during long sessions. With its powerful sound quality and clear voice clarity, this system will ensure you have the best possible gameplay experience.

Toshiba’s 51H83 51-Inch HDTV-Ready TheaterWide Projection TV offers stunning visuals thanks to its 16:9 aspect ratio and 1080i HD compatibility. Its CrystalScan HDSC technology ensures that every detail is brought to life in vivid color and crisp definition. Enjoy movies, sports, and more from across the room with this impressively large screen.

Mad Dog Multimedia’s MD-36-ATA-3SL ATA/IDE Cable is ideal for gamers who want to customize their computers. It has a rounded silver design and measures 36 inches in length, allowing it to reach any part of your setup. This cable also allows you to connect multiple devices at once, making it easy to switch between them quickly.",6.0
"<product> BZKBTA6100 - BAZOOKA BTA6100 BT Series Amplified Subwoofer (6""; 100W)
<features> ['Model_Number - BTA6100', 'Depth - 23.50', 'Height - 8.50', 'Width - 8.75']

<product> Samsung SPN4235 42-Inch Widescreen Plasma Flat-Panel HD-Ready TV
<features> ['42-inch widescreen high-definition plasma display with DVI input and 16:9 aspect ratio; 40.4 x 24.8 x 3.1 inches (W x H x D)', '852 x 480-pixel EDTV (480p) resolution; built-in image scaler accepts 720p and 1080i signals and scales them for 480p viewing', 'Extraordinary 1,200:1 contrast ratio, high 700 cd/m2 brightness', 'NTSC dual-tuner, split-screen PIP lets you watch two programs simultaneously', '10-watts-per-channel speaker outputs (for use with optional matching speakers, model PSM4230); subwoofer output for a direct sub hookup']

<product> Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect (Discontinued by Manufacturer)
<features> ['Multiple gauge wire networks for accurate, natural sound reproduction.', '12-cut Turbine 24k gold contacts for a superior connection.', 'Exceeds THX certification standards for proper system performance, reliability and ease of installation.', 'Bandwidth Balanced design for increased clarity and sonic accuracy.', 'MicroFiber insulation for deeper, tighter bass and clearer highs.']

","The BAZOOKA BTA6100 BT Series amplified subwoofers are designed to provide maximum power and deep, rich bass notes to any listening environment. The Samsung SPN4235 42-inch wide screen flat panel plasma television offers stunning visuals with its 40.4” widescreen HD-ready display and 16:9 aspect ratio. It also has a built-in image scaler which allows it to accept both 720p and 1080i signals and scale them down to 480p for optimal picture quality. Additionally, this unit comes equipped with an NTSC dual tuner so you can watch two different shows at once or enjoy a split-screen PIP feature. For those who want even more audio fidelity, the Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect will deliver exceptional sound quality through its multiple gauge network and 12 cut turbines. Finally, the Monster Cable Microfiber interconnect cables ensure that every note is delivered with precision and clarity.",7.0
