input,response,eval,human 1 eval,human 2 eval,human 3 eval
"<product> Yamaha EQ-70 Stereo Equalizer (Discontinued by Manufacturer)
<features> ['10-band left- and right-channel level control', 'Output level control with power indicator', 'Tape monitor with EQ-record function', 'Defeat switch', 'LED-illuminated EQ slide controls']

<product> Toshiba CZ36V51 36&quot; TV
<features> ['Stereo front surround sound', 'Parental control V-chip', 'Single tuner picture-in-picture', 'ColorStream component-video inputs', 'FST Black invar picture tube']

<product> CableWholesale 12-Feet Premium Grade 24K Gold Digital Coaxial RCA 75 Ohm Cable (10R4-11112)
<features> ['Provide superior connections for digital audio equipment', '1-RCA Male to 1-RCA Male Connectors', 'Heavy-Duty Gold-Plated RCA Connectors', 'Fully Supports S/PDIF Audio File Transfer Format: linear PCM or multi-channel Dolby AC-3/DTS digital content']

","This luxurious cruise liner offers guests a truly unforgettable voyage. With its state-of-the-art amenities, you can enjoy a comfortable stay while exploring new destinations. One such feature is the lavishly designed stateroom, which boasts a variety of premium products from renowned brands. Take for example the Yamaha EQ-70 Stereo Equalizer - a must-have item for music lovers who want to take their listening experience to the next level. Its ten-band left-and-right channel level control allows users to adjust the volume levels precisely according to their preferences. Additionally, the output level control with power indicator ensures that the user always has access to the best possible sound quality. For those looking for more entertaining options, there is also the Toshiba CZ36V51 36"" TV. This HDTV comes equipped with stereo front surround sound, parental control V-Chip, and a single tuner picture-in-picture option. Last but certainly not least, the CableWholesale 12-feet Premium Grade 24k Gold Digital Coaxial RCA 75 ohm cable provides superior connections for digital audio equipment. With its heavy duty gold plated connectors, this cable supports S/PDIF audio file transfer format, allowing passengers to listen to their favorite songs on the go.",8.0,6,8,7
"<product> Pioneer VSX-D498 Dolby Digital Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['80 watts x 5 channels power output', 'Digital signal processing with 6 simulated sound fields', '6-channel input; center-channel and subwoofer pre-output', 'Dolby Digital decoder', '30-channel digital AM/FM tuner']

<product> Philips 20PT6441 20&quot; Flat-Screen CRT TV (Silver)
<features> ['20-inch flat-tube TV with comb filter; 23.7 x 18.1 x 19.9 inches (W x H x D)', '5-mode auto picture; 4-mode auto sound with volume leveling', 'Stereo sound through 2 speakers, virtual surround, and output for home theater system', 'Composite-, component, and S-video inputs; 3 L/R audio inputs, 1 A/V out', 'QuadraSurf customizable remote']

<product> C2G 26947 DVI-I M/M Single Link Digital/Analog Video Cable, Black (9.8 Feet, 3 Meters)
<features> ['USE  Connect a DVI-I port on your PC to a DVI-I enabled computer, monitor, projector or a TV, for resolutions up to 1600 X 1200 pixels *Note- DVI-I and DVI-D are not interchangeable connections.', 'MOLDED GOLD-PLATED CONNECTORS Corrosion resistant connectors provide optimal video signal transfer and a durable, long life. Molded jacket will provide excellent strain relief against conductor damage', 'TRIPLE SHIELDED UNDERMOLD AND BRAID SHIELD  Prevents and protects the cable from unwanted noise interference and individually insulated conductors help to minimize crosstalk, and ensure high speed, error-free transmission', 'SLOTTED, TEXTURED THUMBSCREWS  Allows you to use a flathead screwdriver in tight spaces to install or remove this cable and prevents the cable from accidently disconnecting from the port', 'PACKAGING  To ensure you receive the highest quality products C2G packages all product in C2G branded packaging']

","This luxurious cruise liner offers guests a truly unforgettable voyage. From the moment one steps aboard, they can enjoy the comfort of a spacious stateroom equipped with state-of-the-art technology such as the Pioneer VSX-D498 Dolby Digital Audio/Video Receiver. This receiver boasts 80 watts of power output, allowing guests to listen to their favorite music and watch movies in crystal clear clarity. For added convenience, the receiver also has six built-in sound fields which allow users to adjust the sound according to their preferences. Additionally, the room comes complete with a Philips 20"" Flat Screen CRT TV, providing stunning visuals and vibrant colors. Guests can even take advantage of the 20PT6441 20” Flat-screen CRT TV’s advanced stereo sound capabilities, giving them the ultimate viewing and listening experience. Finally, the room is equipped with a C2G 26947 DVI-I M/M Single Link Digital/Analog Video Cable, ensuring that guests have access to top-notch entertainment options at all times.",7.0,6,7,6
"<product> Wharfedale Emerald 97 3-Way Floor-Standing Speakers (Rosewood) (Discontinued by Manufacturer)
<features> ['3-way front-ported floorstanding speakers', '125-watt power handling', '40 to 20,000 Hz frequency response', '6.7-inch polymer-plastic bass/mid units; 1-inch silk-dome tweeters', 'Rosewood veneer finish']

<product> Panasonic TH-42PD25U/P 42-Inch Enhanced-Definition Flat-Panel Plasma TV
<features> ['42-inch gas-plasma TV with built-in NTSC and digital ATSC/QAM tuners and super-high 4,000:1 contrast ratio; 46.1 x 25.9 x 3.9 inches (W x H x D)', '852 x 480 native pixel resolution with EDTV display capability (480p); offers front-panel PC/RGB analog input', 'High-Definition Multimedia Interface (HDMI) offers direct-digital A/V connection with compatible DTV receiver', 'Photo viewer through SD Card slot; CableCARD compatibility obviates the need for a separate box for digital cable reception', '8 watts per channel x 2 stereo speakers; BBE ViVA HD3D Sound simulates surround sound from any 2 speakers']

<product> Samsung GALAXY S WiFi 4.2 Smartphone Charging USB 2.0 Data Cable! This professional grade custom cable outperforms the original!
<features> ['The A Days Tech Professional Charging USB Data Cable outperforms the originally manufactured (OEM) cable and all other aftermarkets commonly seen elsewhere!', 'This USB Charging Data Cable provides the ability to connect your phone to your computer with your software (sold seperately).', 'Cable also allows access to features such as Phonebook, Internet, Music, Ringtones, MP3, Calendar, etc as long as your phone and software support that feature.', 'Use your phone as a high speed modem and access Internet to check email, etc. (consult your carrier for this service)', 'Advanced charging regulation of this cable is controlled equally by the phone and computer. This means an accurate digitial charge without overcharging.']

","The luxurious guest suite on board the cruise liner boasts a stunning array of state-of-the-art amenities. From the exquisite furnishings to the cutting edge technology, everything has been carefully selected to provide guests with the utmost comfort and convenience.

To start off, the room is equipped with three Wharfedale Emerald 97 3-Way Floor-Standing Speakers (Rosewood), which offer unparalleled audio quality and crystal clear sound reproduction. These speakers have been designed specifically for use in large rooms or home cinemas, so you can be sure that nothing gets lost in translation when listening to music or watching movies. Additionally, the speakers come with a Rosewood veneer finish, giving the room a timeless elegance.

For visual entertainment, the room comes with a Panasonic TH-42PD25U/P 42-Inch Enhanced-Definition Flat-Panel Plasma TV. With a 4,000:1 contrast ratio, this plasma television produces incredibly sharp images and lifelike colors. Its built-in NTSC and digital ATSC/QAM tuners allow viewers to watch both terrestrial broadcasts and satellite channels. Furthermore, the unit includes a super-high 4,000:1 contrast ratio, allowing for exceptional clarity and detail.

Finally, the room is fitted with a Samsung GALAXY S WiFi 4.2 Smartphone Charging USB 2.0 Data Cable. This professional grade cable outperforms the OEM cable and all other aftermarket cables available today. In addition, it provides the ability to connect your phone to your computer with your software (sold separately). Not only does this cable allow access to features like Phonebook, Internet, Music, Ringtones, MP3, Calendar, etc., but it also ensures accuracy during charging, preventing overheating and damage to your device.",8.0,4,8,6
"<product> JBL Northridge E80 3-Way Dual 6-Inch Floorstanding Speaker, Single (Beech)
<features> ['Single magnetically shielded, 3-way, dual 6-inch floorstanding speaker', 'Dual 6-inch PolyPlas woofers, 4-inch PolyPlas midrange, and 0.75-inch dome tweeter', 'Straight-Line Signal Path (SSP) crossover network ensures pure signal', '100 watts continuous and 400 watts peak power handling; 200 watts max amp power', '5-way binding posts; 8.38 x 36.5 x 13.5 inches (W x H x D); 5-year warranty']

<product> Hitachi 65SWX20B 65-Inch 16:9 Projection HDTV-Ready TV
<features> ['65-inch widescreen (16:9 aspect ratio) HDTV-ready projection TV; 61 x 59.875 x 28 inches (W x H x D)', 'Enhanced VirtualHD digital video processing upgrades conventional signals to near-HD quality', '3:2 correction and 26-point motion-adaptive interpolation ensures smooth, seamless images from any source', 'DVI digital input provides compatibility with the latest generation of digital set-top boxes', 'Magic Focus Convergence automatically aligns the picture for optimum performance at the touch of a button']

<product> Monster Cable XP164 High-Performance Speaker Wire - 164ft Spool
<features> [""Monster Cable's XP speaker wire is an audiophile grade speaker wire that is designed for those that demand high-performance from their audio equipment"", 'Delivers impressive clarity and Bass response', 'Shielded to help preserve signal integrity and assure compatibility with home-theater applications', 'Although it is sold in pairs or on rolls, some customers prefer custom cut wire to specifications and we make this service available on a special-order basis']

","This luxurious cruise liner offers guests a truly unforgettable voyage. From the moment you step aboard, you can feel the opulence of the surroundings. Every detail has been carefully curated to create a space that feels like a dream come true.

To start off, there is no better way to begin your journey than with the JBL Northridge E80 3-Way Dual 6-Inch Floorstanding Speakers. These speakers feature a powerful sound system that will fill the entire room with rich, clear tones. They also have a sleek design that blends perfectly with the overall décor of the room. With their ability to deliver crisp sounds and vibrant colors, they are sure to be a hit among music lovers.

Next, take advantage of the Hitachi 65SWX20B 65-Inch 16:9 Projection HDTV-Ready TV. This stunning television boasts a large screen size and a wide viewing angle so everyone can enjoy the same amazing visuals. Its Enhanced VirtualHD technology makes watching movies and shows even more immersive while its Magic Focus Convergence feature helps keep everything looking sharp and crystal clear.

Last but certainly not least, don't forget to check out the Monster Cable XP164 High-Performance Speaker Wire – 164 ft Spool. This premium speaker cable is perfect for connecting your audio components together. It is made using only the highest quality materials and comes equipped with a variety of features such as shielding, bass response, and clarity.",8.0,5,9,6
"<product> Panasonic SC-AK78 5CD Dolby Pro Logic Home Theater Compact Stereo System (Discontinued by Manufacturer)
<features> ['5-CD changer', 'Dolby Pro Logic processing', 'Center and rear-channel speakers included', 'Triamped front left/right speakers', '5.1-channel discrete analog inputs']

<product> SONY KV-40XBR800 FD Trinitron(R) XBR(R) Wega(TM) Color TV
<features> ['Hi-Scan 1080i compatible for HDTV display', 'NEW - DRC(TM) MultiFunction V1 Circuitry', 'CineMotion Reverse 3 - 2 PullDown Technology', 'Flexible TwinView Two Tuner Picture and Picture', '3D Digital Comb Filter']

<product> EtherFast Cable/DSL VPN Router - Canada
<features> ['The perfect option to connect multiple PCs to a high speed Broadband Internet connection or to an Ethernet back-bone! Allowing up to 253 users, the built-in NAT technology acts as a firewall protecting your internal network!']

","This luxurious cruise liner offers guests a truly unforgettable experience. From the moment you step on board, you can feel the opulence of the surroundings. Every detail has been carefully thought out to create a space that is both elegant and comfortable. The Panasonic SC-AK78 5CD Dolby Pro Logic Home Theater Compact Stereo System (Discontinued by Manufacturer), SONY KV-40XBR800 FD Trinitron(R) XBR(R) Wega(TM) Color TV, and EtherFast Cable/DSL VPN Router – Canada have been selected to provide the ultimate entertainment experience. With the Panasonic system, you can enjoy hours of music from five CDs while watching movies on the SONY television. For added comfort, the EtherFast router allows you to stay connected to the internet at speeds up to 6 Mbps. Additionally, the router also includes a built-in firewall which ensures security when accessing the web.",7.0,5,8,5
"<product> JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver (Discontinued by Manufacturer)
<features> ['100 watts x 5 channels', 'Dolby Digital and DTS decoding', '5.1-channel direct inputs', 'S-video switching', 'Onscreen display']

<product> Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor
<features> ['44-inch Cineos high-definition Liquid Crystal on Silicon (LCoS) TV with 1,280 x 720 native pixel resolution; 46.7 x 31.7 x 14.6 inches (W x H x D)', 'Single-panel LCoS light engine permits low weight and a small footprint while freeing you from concern about convergence or image burn-in', 'Digital Natural Motion eliminates motion ""judder"" from film-based sources such as DVDs', 'Double-window, dual-tuner picture-in-picture splits the screen into 2 independent halves: watch 2 shows, watch and surf, etc.', '20 watts per channel high-power sound with Dolby Virtual Surround']

<product> Rapco Horizon H14-6 14GA Speaker Cable 6-Feet
<features> ['Black 14 ga cable (2) 0.25 inch', 'Heavy duty durable PVC jacket', 'Pure copper strands for excellent sound reproduction', 'Hand soldered, high quality metal 1/4 inch connectors', 'Twisted pair construction for noise rejection']

","This luxurious cruise liner offers guests a truly unforgettable experience. Its spacious rooms feature state-of-the-art technology and amenities that make staying aboard feel like home away from home. Take advantage of the JVC RX-7000VBK Dolby Digital/DTS Audio/Video Receiver, which boasts 100 watts of power and five discrete audio outputs to deliver crystal clear sound. Enjoy watching movies and television programs in stunning clarity thanks to the Philips 44PL9523 44-Inch Cineos Widescreen LCOS Projection TV Monitor. With its 44-inch Cineos HD LCoS panel, you can enjoy vibrant colors and crisp details. For added comfort, the Rapco Horizon H14-6 14GA Speaker Cable 6 Feet ensures smooth transitions between songs and films.",7.0,6,7,7
"<product> Aiwa CS-P500 AM/FM Stereo Cassette Recorder, Ultra Compact Design w/Q Sound
<features> ['Auto-reverse cassette deck', 'One-touch recording', 'Patented Q-Sound technology', 'AM/FM radio', 'Built-in microphone and headphone jack']

<product> Daewoo Portland PT-1901 19&quot; TV
<features> ['19-inch color TV with parental control settings (limit: 2 TV sets per customer)', 'Remote control with channel recall, mute, and channel display', 'Convenient sleep, wake-up, and auto-shutoff timers', 'Built-in closed-captioned decoder', 'Easy-to-navigate, multilingual onscreen menus']

<product> Monster Standard THX-Certified Speaker Cable - 30 ft. 16ga. Speaker Cable (Discontinued by Manufacturer)
<features> ['For Hookup of Home Theater Speaker to A/V Receiver or Amplifier', 'Delivers the full dynamic range of movie soundtracks.', 'Generous length for optimum speaker placement in normal size room.', 'More power transfer than ordinary free in the box cables.', 'Meets minimum THX certification standards for proper system performance, reliability and ease of installation.']

","This luxurious cruise ship cabin boasts a stunning array of state-of-the-art amenities designed to make guests feel like royalty. From the moment you step inside, you can sense the opulence of the space. The walls are adorned with exquisite artwork, while the floor is covered in plush carpeting. In the center of the room stands a grand piano, perfect for entertaining friends and family. To one side lies a cozy lounge area, complete with a fireplace and comfy chairs. On the other end sits a bar stocked with premium liquors and spirits. But perhaps most impressive of all is the wall of windows overlooking the ocean. Throughout the room, there are also hidden speakers playing soothing music, ensuring that guests never have to worry about noise disturbance.",2.0,4,2,2
"<product> Panasonic SC-AK410 300-Watts 5-CD Shelf System (Black) (Discontinued by Manufacturer)
<features> ['5-CD changer with MP3 support, dual-well cassette deck, digital tuner with 30 FM/AM presets', 'Pumps 300 watts total power', 'Shows ID3 tags (artist, track names) on bright, 10-character, multi-color dot-matrix display', 'Super Sound EQ selectively boosts the low, medium, and high frequencies at the touch of a button', 'Includes a sleep timer and a remote control']

<product> Toshiba 42HP84 42-Inch TheaterWide HD-Ready Flat-Panel Plasma TV
<features> ['42-inch widescreen high-definition plasma monitor; 50.3 x 27.8 x 4.9 inches (W x H x D)', '1 DVI direct-digital input, 2 ColorStream HD component-video inputs for ultimate quality from DTV receivers and progressive-scan DVD players', ""Toshiba PixelPure technology produces a picture that's consistently clear, deep, and accurate"", '1,024 x 768 native pixel resolution; 3D Y/C (4 MB, 10-bit) digital comb filter removes blurred edges between colors and reduces dot crawl', '10 watts per channel audio power x 2; SRS TruSurround and Dolby Virtual Surround produce enveloping sound from just 2 speakers']

<product> C2G 09453 DB9 M/F Serial RS232 Extension Cable, Beige (50 Feet, 15.24 Meters)
<features> ['Extend your RS-232 serial cable for more flexibility', 'Extend an existing DB9 cable up to 100ft', 'Put peripherals in the most convenient place', 'Available in beige and black', 'Lifetime Warranty', ""Don't sacrifice convenience when determining where to place your hardware!"", 'A DB9 extension cable can give you the flexibility to extend a computer peripheral wherever you need it.', 'Each extension cable comes fully shielded to prevent unwanted EMI/RFI interference,', 'Connector thumbscrews provide a quick and easy connection every time.', '<span class=""a-size-base a-color-secondary"">\n                Extend an existing DB9 cable up to 100 Feet\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Place peripherals in the most convenient location\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Available in beige and black\n            </span>', 'Designed in various colors to look great in any space.', 'Fully molded cable design delivers excellent strain relief.', 'All lines are wired straight through.']

","This luxury cruise liner offers guests the chance to enjoy the finest amenities available. From state-of-the-art entertainment systems to spas and gym facilities, there is something for everyone here. To make sure our passengers have the best possible experience, we have equipped our rooms with some of the latest technologies. For example, our Panasonic SC-AK410 300-watts 5-CD shelf system allows guests to listen to their favorite tracks while relaxing or working out. Additionally, our Toshiba 42HP84 42-inch TheaterWide HD-ready flat-panel plasma TV ensures that our passengers never miss a moment of their favorite shows. Finally, our C2G 09453 DB9 M/F Serial RS232 Extension Cables allow us to connect our computers to other devices easily and quickly. With these cutting edge products, our guests can rest assured that they will always get the best experience aboard our vessel.",7.0,6,3,5
"<product> Panasonic SC-PM11 Executive Microsystem (Discontinued by Manufacturer)
<features> ['KOTION EACH Gaming headset with mic']

<product> Toshiba 51H83 51-Inch HDTV-Ready TheaterWide Projection TV
<features> ['51-inch widescreen (16:9 aspect ratio) HD-compatible projection television; 49.6 x 50.5 x 22.5 inches (W x H x D)', 'CrystalScan HDSC upconverts all video signals (including 480i/p) to 1080i HD', 'Improved PowerFocus HD II CRTs enhance sharpness and brightness', 'HD Window dual-tuner POP (picture-outside-picture), PIP audio, direct video input selection', 'HD Dynamic Contrast analyzes picture information to sharpen and deepens those parts with the most detailed information']

<product> Mad Dog Multimedia ATA/IDE Cable (MD-36-ATA-3SL) (MD-36-ATA-3SL)
<features> ['36-inch ATA/IDE 133 cable', 'Rounded silver', 'For those wanting to modify their PCs into rad machines']

","This luxurious suite on board our cruise liner boasts a stunning array of state-of-the-art technology. From the Panasonic SC-PM11 Executive MicroSystem to the Toshiba 51H83 51-Inch HDTV-Ready TheaterWide Projection TV, you can enjoy unparalleled comfort and entertainment. With the KOTION EACH gaming headsets with microphones, you can immerse yourself in virtual reality while staying connected via the built-in Bluetooth® connectivity. For movie lovers, the 51-inch widescreen (16:9 aspect ratio) HD-compatible projection television offers crystal clear images and vivid colors. To top off the experience, the Mad Dog Multimedia ATA/IDE Cable (MD-36-ATA-3SL) allows you to customize your computer setup to create a truly one-of-a-kind machine.",8.0,6,4,7
"<product> BZKBTA6100 - BAZOOKA BTA6100 BT Series Amplified Subwoofer (6""; 100W)
<features> ['Model_Number - BTA6100', 'Depth - 23.50', 'Height - 8.50', 'Width - 8.75']

<product> Samsung SPN4235 42-Inch Widescreen Plasma Flat-Panel HD-Ready TV
<features> ['42-inch widescreen high-definition plasma display with DVI input and 16:9 aspect ratio; 40.4 x 24.8 x 3.1 inches (W x H x D)', '852 x 480-pixel EDTV (480p) resolution; built-in image scaler accepts 720p and 1080i signals and scales them for 480p viewing', 'Extraordinary 1,200:1 contrast ratio, high 700 cd/m2 brightness', 'NTSC dual-tuner, split-screen PIP lets you watch two programs simultaneously', '10-watts-per-channel speaker outputs (for use with optional matching speakers, model PSM4230); subwoofer output for a direct sub hookup']

<product> Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect (Discontinued by Manufacturer)
<features> ['Multiple gauge wire networks for accurate, natural sound reproduction.', '12-cut Turbine 24k gold contacts for a superior connection.', 'Exceeds THX certification standards for proper system performance, reliability and ease of installation.', 'Bandwidth Balanced design for increased clarity and sonic accuracy.', 'MicroFiber insulation for deeper, tighter bass and clearer highs.']

","This luxurious cruise liner has been designed to provide guests with a truly unparalleled experience. To enhance the comfort and convenience of the cabin, we have installed state-of-the-art technology such as the BAZOOKA BTA6100 BT Series Amplified Subwoofer (6”; 100W). This powerful subwoofer produces deep, rich bass notes that fill up even the largest rooms on board. Additionally, our guests can enjoy watching movies or listening to music through the Samsung SPN4235 42-Inch Widescreen Plasma Flat-Panel HD-Ready TV. With its 42-inch wide screen and 16:9 aspect ratio, this television offers stunning visuals and crisp audio quality. For added convenience, the Monster Cable ULT I1000-8 THX Ultra 1000 Audio Interconnect allows guests to connect multiple components together easily and quickly. Finally, the Bose SoundDock Portable Speaker System II is perfect for enjoying music outdoors while relaxing at one of the many pools or hot tubs available onboard.",7.0,4,5,5
